user290,15:26:53,17:44:50,60
user208,09:49:47,11:08:12,46
user454,09:05:41,10:34:12,95
user87,15:07:30,16:45:08,78
user119,13:29:02,16:28:44,104
user40,09:43:59,10:47:52,103
user287,13:26:24,14:07:38,100
user429,09:51:09,10:25:34,107
user135,13:10:17,15:22:19,94
user469,14:00:19,15:45:11,32
user469,16:07:00,16:11:00,59
user40,14:14:59,15:11:23,63
user229,09:12:36,10:01:49,10
user191,09:29:43,10:35:01,87
user182,16:06:40,16:39:14,83
user499,11:55:16,12:09:39,54
user193,16:47:05,17:06:36,86
user422,14:32:46,14:43:34,111
user472,16:48:00,19:13:09,75
user46,11:31:33,13:30:05,82
user17,15:27:03,17:58:48,40
user329,09:55:52,12:21:56,53
user315,12:42:38,13:18:55,46
user174,14:03:29,16:37:07,56
user51,13:29:30,15:03:47,111
user443,10:28:04,11:32:45,73
user180,15:10:50,17:35:47,50
user349,11:43:22,13:23:20,58
user24,15:40:51,16:21:44,17
user358,14:25:02,15:02:28,71
user132,15:27:53,16:56:20,52
user229,13:44:34,15:53:36,95
user497,09:14:05,11:53:23,55
user99,12:49:36,14:48:27,47
user389,15:56:48,17:00:54,59
user69,11:54:08,12:48:51,101
user245,16:19:23,16:48:51,57
user390,12:13:27,15:08:03,42
user337,12:40:57,12:42:52,42
user173,16:48:53,16:55:30,39
user395,14:06:03,14:49:44,78
user264,09:27:56,11:36:14,104
user417,11:34:51,13:11:55,72
user351,16:02:41,16:22:07,53
user385,12:32:56,12:39:47,100
user435,16:03:08,17:15:34,108
user368,16:19:21,18:58:05,36
user261,14:27:57,14:58:04,60
user332,11:24:55,11:51:29,92
user28,13:40:49,13:42:31,82
user166,13:12:48,13:37:11,63
user287,11:28:15,12:18:42,74
user120,11:12:28,12:45:16,11
user246,14:37:13,14:43:35,87
user477,16:39:28,17:54:03,41
user316,09:39:52,11:35:38,89
user272,09:59:11,10:17:31,111
user16,13:45:34,16:33:23,112
user338,16:22:04,18:11:15,88
user185,09:26:27,11:16:51,16
user166,10:25:22,10:41:12,12
user467,09:40:10,11:44:01,12
user261,13:02:02,15:44:21,68
user475,14:50:07,15:05:44,44
user172,11:17:14,13:54:34,73
user113,14:52:36,16:07:36,60
user338,12:59:49,13:53:59,35
user399,13:20:14,15:03:34,56
user452,13:33:52,14:06:42,70
user340,09:04:16,09:15:20,61
user266,12:16:37,12:46:31,8
user157,12:12:48,14:58:31,81
user131,12:18:06,12:48:32,17
user344,13:56:44,15:14:03,84
user476,13:38:28,14:44:13,5
user295,16:52:48,17:01:15,101
user339,14:26:40,14:53:47,79
user360,14:44:47,16:13:22,87
user271,10:47:39,12:31:21,68
user242,12:04:33,14:27:54,81
user356,09:14:46,11:04:12,23
user107,09:25:10,11:02:28,100
user77,09:46:42,09:50:41,34
user359,16:16:36,17:11:37,96
user10,11:35:04,12:10:55,14
user366,16:06:33,16:20:19,9
user236,10:01:45,11:25:01,81
user381,11:36:12,13:49:17,88
user273,15:04:59,15:35:46,73
user213,14:37:11,15:19:57,16
user161,16:37:33,19:24:33,36
user362,11:21:16,11:26:43,112
user161,09:17:00,11:05:48,84
user323,12:26:19,13:02:41,33
user304,12:57:12,15:26:54,76
user49,12:08:49,12:27:01,28
user331,13:28:22,14:01:23,92
user205,09:55:51,12:26:20,93
user273,09:23:18,10:20:48,81
user68,13:11:23,13:30:54,94
user249,12:47:46,15:28:42,32
user234,11:00:56,11:45:52,50
user303,12:48:46,14:37:07,74
user112,14:45:33,16:50:43,99
user274,10:58:48,13:49:43,23
user239,12:04:25,12:17:53,18
user242,13:28:42,13:50:50,87
user466,15:51:21,18:01:06,47
user500,14:46:27,17:46:05,26
user484,12:07:34,14:44:05,33
user397,15:49:06,16:59:43,49
user352,11:03:22,13:04:54,95
user52,15:58:16,17:07:55,78
user27,14:28:56,14:49:21,3
user115,15:28:58,16:53:20,41
user377,11:08:29,12:18:59,82
user2,12:54:20,13:20:18,88
user244,15:06:43,17:05:16,28
user274,09:43:00,12:15:57,80
user342,13:43:34,14:46:56,39
user294,15:59:50,18:25:52,51
user478,10:50:02,13:40:35,110
user245,09:17:22,12:11:55,97
user270,10:48:30,12:49:20,82
user241,09:05:24,11:56:17,60
user294,14:06:42,14:43:44,83
user205,10:14:09,12:14:02,57
user16,09:24:52,09:26:52,3
user69,15:14:33,16:48:58,107
user281,11:46:46,14:42:30,38
user458,13:33:29,14:03:22,59
user472,16:34:01,17:16:41,80
user329,12:01:29,12:30:29,108
user277,09:30:55,11:19:09,86
user285,16:41:59,18:58:42,97
user410,14:45:56,15:41:55,46
user456,15:08:50,16:19:23,45
user396,16:31:12,18:25:52,43
user75,10:23:08,10:39:39,44
user367,10:03:08,10:13:17,14
user482,16:57:07,19:24:41,11
user159,13:55:42,14:42:35,100
user147,15:20:44,17:55:11,53
